Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0x7553ec8a0525934465e29f4563d2e4264acb46b6,0,0,785,785,
0xb6f354a6241c1ea8727f1745d9519388f7fc41e8,0,0,785,785,
0x3e76cb767015981d3315152a2d54ec9a7dd92053,0,0,785,785,
0xef49d9e7356dad7a0523e880e9e187a9165bdfed,0,0,762,762,
0x4f574c6ef8748ffd0783527204dc0ab9cdca3175,0,0,762,762,
0xedaf24e920006057abd7549c3d4fa2f5f8a3aca6,0,0,762,762,
0x425be9f3520c5238cb9e879b3b53726bef9d1f41,0,0,738,738,
0x8e9fcb9642135cfdc41a9685e90c18fefb9bf652,0,0,738,738,
0xc3addda88545b51d5a66bee18464e8028d8863f4,0,0,738,738,
0x5b0b563cc6d53837cc4145f27eb52eddc7ba55f1,0,0,738,738,
0x67bf24507d8ff3eab0d98617f76a7187a435d148,0,0,738,738,
0x060205979f000208fa6859a4570b292a3801b419,0,0,738,738,
0x6f705e8f86a4e5c843f29318661c2ab5f28ce0e7,0,0,738,738,
0x338618b30079dc375d8e0f515ec972ed4dff07d1,0,0,738,738,
0x939b51b4e8a92b7ecdfd436c60b1b9b96c7fde86,0,0,738,738,
0xd9e555dabaf2133ee4a39f687c9d0dd86cbcf612,0,0,715,715,
0xa161ade7a580572021c3a0dcc9dad7313df72a2b,0,0,715,715,
0xe876ae4dc85dd6c3c81fe69e636feba798a552db,0,0,715,715,
0x2ffdd1488b3a5cafab1fef02d35792382fde1d25,0,0,715,715,
0xb2ce6799a717860343248ee802bcdddf1906e959,0,0,715,715,
0x2c95e99937f0298f5460c7b0f874dd1ef45e8979,0,0,715,715,
0xccf47154e5a63eceb36c1cc70266abac4479726f,0,0,715,715,
0x00a7c05e56ecf84a2a82c31fb92de41189e28c7a,0,0,691,691,
0x92e863c3b2b4cff6e2e34881a826aa3276b2149f,0,0,691,691,
0x53ed2d63a316b7acf77a97d8ab84b093f1d7f78d,0,0,691,691,
0xe5eeb7658d585e4eb1e2c7e9bff6560206917a40,0,0,691,691,
0x1e004585486b1e353ea6f0adca056cf138590640,0,0,691,691,
0x8445d17bb9a54240e1048f8e8abce5081bfad23d,0,0,691,691,
0xf3438ad295cefa463fe277686c7a0cba57510410,0,0,666,666,
0x657527be1229a3b04cabda9ff3b13001f380f96a,0,0,666,666,
0x69dcbfa79fa210337685ea887641adfe36344fa2,0,0,666,666,
0xc497a236677d9943c053b0d395de40092a0e9cc0,0,0,666,666,
0x03fad2d996a153e11e6c84ae4ac37c005ad7349a,0,0,666,666,
0xd3518cf1ade0e31fa250d2d60bfa8711e6d8c877,0,0,666,666,
0x6ecb5c3608b96225c75704633dab565549fdbc59,0,0,666,666,
0x87a7f94de2721dfdd8c181d5af2feb588d5e8bea,0,0,666,666,
0x2d94b2edde69f54878a1debf88901fa80a4e708b,0,0,666,666,
0x5c3e27667c68cf07035f7e6a26b96df7785a254a,0,0,666,666,
0x55eaf827d51c53a299607ead6ea42a0989f6f3e7,0,0,641,641,
0xa6375f015c4450dabb7801e7dffa01ea2e92546e,0,0,641,641,
0x5e889eac07012722efbe1405e23db51e713ba642,0,0,641,641,
